LOCALIDAD,PUERTO,FECHA_DESCARGA,REGIMEN,ZONA,CASCO,FECHA_DESEMBARQUE,UBIGEO,LATITUD,LONGITUD,FECHA_TEXTO,FECHA,DIA_DEL_ANIO,TEMP,SAL
PIURA - SECHURA - SECHURA,BAYOVAR,20240401,DECRETO LEY NÂº25977,Norte-Centro,ACERO NAVAL,20240401,200801,-5.650134795,-81.19071818,1/04/2024,1/04/2024,1,20.38374747,34.41964604
LIMA - BARRANCA - SUPE PUERTO,SUPE,20240401,DECRETO LEY NÂº25977,Norte-Centro,ACERO NAVAL,20240401,150205,-10.86939714,-77.86178286,1/04/2024,1/04/2024,4,19.80834144,35.17685994
ICA - CHINCHA - TAMBO DE MORA,TAMBO DE MORA,20240401,DECRETO LEY NÂº25977,Norte-Centro,ACERO NAVAL,20240401,110211,-13.5356673,-76.27929558,1/04/2024,1/04/2024,5,19.28382464,35.53901872
ICA - CHINCHA - TAMBO DE MORA,TAMBO DE MORA,20240401,DECRETO LEY NÂº25977,Norte-Centro,ACERO NAVAL,20240401,110211,-13.4981673,-76.26419558,1/04/2024,1/04/2024,11,19.36104797,35.55266706
ICA - CHINCHA - TAMBO DE MORA,TAMBO DE MORA,20240401,DECRETO LEY NÂº25977,Norte-Centro,ACERO NAVAL,20240401,110211,-13.4985673,-76.25529558,1/04/2024,1/04/2024,11,19.3614254,35.55315368
PIURA - SECHURA - SECHURA,BAYOVAR,20240401,DECRETO LEY NÂº25977,Norte-Centro,ACERO NAVAL,20240401,200801,-5.606634795,-81.17261818,1/04/2024,1/04/2024,12,20.49985293,34.44379279
ANCASH - SANTA - CHIMBOTE,CHIMBOTE,20240401,DECRETO LEY NÂº25977,Norte-Centro,ACERO NAVAL,20240401,21801,-9.148292697,-78.75099495,1/04/2024,1/04/2024,12,20.18851675,34.96865337
ANCASH - SANTA - CHIMBOTE,CHIMBOTE,20240401,DECRETO LEY NÂº25977,Norte-Centro,ACERO NAVAL,20240401,21801,-9.156092697,-78.75419495,1/04/2024,1/04/2024,12,20.18704393,34.96934841
ANCASH - SANTA - CHIMBOTE,CHIMBOTE,20240401,DECRETO LEY NÂº25977,Norte-Centro,ACERO NAVAL,20240401,21801,-9.166892697,-78.69689495,1/04/2024,1/04/2024,12,20.1875812,34.97339712
LIMA - BARRANCA - SUPE PUERTO,SUPE,20240401,DECRETO LEY NÂº25977,Norte-Centro,ACERO NAVAL,20240401,150205,-10.85239714,-77.79938286,1/04/2024,1/04/2024,14,19.93219597,35.2075268
LIMA - HUARAL - CHANCAY,CHANCAY,20240401,DECRETO LEY NÂº25977,Norte-Centro,ACERO NAVAL,20240401,150605,-11.15024258,-77.75810618,1/04/2024,1/04/2024,15,19.88590311,35.24504655
LIMA - HUARAL - CHANCAY,CHANCAY,20240401,DECRETO LEY NÂº25977,Norte-Centro,ACERO NAVAL,20240401,150605,-11.19764258,-77.72060618,1/04/2024,1/04/2024,24,20.03377924,35.29104306
PIURA - SECHURA - SECHURA,BAYOVAR,20240401,LEY NÂº26920,Norte-Centro,MADERA,20240401,200801,-5.633434795,-81.23891818,1/04/2024,1/04/2024,154,24.25103064,35.38228341
ANCASH - SANTA - CHIMBOTE,CHIMBOTE,20240401,DECRETO LEY NÂº25977,Norte-Centro,ACERO NAVAL,20240401,21801,-9.184292697,-78.70259495,1/04/2024,1/04/2024,295,20.96482642,35.17013936
LIMA - BARRANCA - SUPE PUERTO,SUPE,20240401,DECRETO LEY NÂº25977,Norte-Centro,ACERO NAVAL,20240401,150205,-10.85649714,-77.81188286,1/04/2024,1/04/2024,309,20.30944126,35.30200831
PIURA - SECHURA - SECHURA,BAYOVAR,20240401,LEY NÂº26920,Norte-Centro,MADERA,20240401,200801,-5.656734795,-81.16891818,1/04/2024,1/04/2024,311,20.8574373,34.53983703
