person_id,home_ownership_id,loan_intent_id,loan_grade_id,loan_status_id,loan_amnt,loan_int_rate,loan_percent_income
1,1,1,1,1,35000,16.02,0.59
2,2,2,2,2,1000,11.14,0.1
3,3,3,3,1,5500,12.87,0.57
4,1,3,3,1,35000,15.23,0.53
5,1,3,3,1,35000,14.27,0.55
6,2,4,4,1,2500,7.14,0.25
7,1,2,2,1,35000,12.42,0.45
8,1,3,2,1,35000,11.11,0.44
9,1,1,4,1,35000,8.9,0.42
10,2,4,1,1,1600,14.74,0.16
11,1,4,2,1,35000,10.37,0.41
12,2,5,4,1,4500,8.63,0.45
13,1,4,4,1,35000,7.9,0.37
14,1,2,5,1,35000,18.39,0.32
15,1,2,4,2,35000,7.9,0.3
16,3,6,2,2,30000,10.65,0.06
17,1,2,4,2,35000,7.9,0.29
18,1,3,6,1,35000,20.25,0.32
19,1,6,1,1,35000,18.25,0.31
20,3,2,2,1,1750,10.99,0.16
21,1,4,4,2,35000,7.49,0.22
22,1,1,5,2,34800,16.77,0.25
23,1,2,1,1,34000,17.58,0.52
24,2,1,4,2,1500,7.29,0.14
25,1,1,1,1,33950,14.54,0.42
26,1,5,3,1,33000,12.68,0.49
27,3,4,5,1,4575,17.74,0.42
28,2,1,4,2,1400,9.32,0.13
29,1,5,2,1,32500,9.99,0.5
30,4,2,3,1,4000,12.84,0.35
31,2,3,2,1,2000,11.12,0.17
32,1,4,4,2,32000,6.62,0.27
33,1,5,3,1,31050,14.17,0.33
34,1,6,3,2,24250,13.85,0.08
35,3,3,3,2,7800,13.49,0.03
36,2,2,4,1,2500,7.51,0.21
37,1,2,5,1,30000,18.39,0.63
38,1,6,1,1,30000,14.54,0.47
39,1,5,1,1,30000,16.89,0.4
40,1,6,1,1,30000,0.0,0.42
41,1,3,5,1,30000,17.99,0.41
42,2,4,2,1,2500,12.69,0.21
43,3,4,4,2,20000,7.88,0.07
44,2,2,6,2,24250,19.41,0.08
45,2,5,2,2,10000,10.38,0.03
46,3,2,1,2,25000,15.33,0.08
47,3,5,5,2,18000,16.45,0.06
48,1,1,4,1,30000,7.49,0.37
49,1,3,2,1,30000,12.69,0.38
50,1,6,4,1,30000,6.62,0.34
51,1,6,1,1,30000,0.0,0.38
52,1,6,6,1,30000,18.62,0.38
53,1,1,3,1,30000,15.23,0.33
54,1,4,2,1,30000,10.65,0.31
55,1,2,4,2,30000,7.9,0.25
56,1,1,3,2,10000,15.96,0.04
57,1,4,2,2,20000,11.48,0.07
58,2,1,4,2,35000,0.0,0.13
59,1,1,4,2,30000,7.29,0.23
60,2,4,5,2,1750,0.0,0.15
61,1,4,4,2,30000,5.99,0.23
62,2,4,2,2,12000,11.58,0.04
63,3,2,2,1,10000,0.0,0.04
64,3,3,1,1,25000,15.7,0.1
65,1,2,1,1,29100,15.99,0.42
66,3,2,1,2,1500,14.84,0.13
67,2,5,2,2,28000,10.99,0.11
68,3,5,1,2,20000,14.42,0.08
69,3,2,4,2,9600,6.99,0.04
70,1,3,3,2,25000,13.49,0.1
71,2,3,3,1,3000,0.0,0.25
72,1,3,4,1,28000,0.0,0.49
73,2,2,3,1,3000,13.61,0.25
74,1,2,4,1,28000,7.9,0.43
75,1,4,4,1,28000,7.49,0.33
76,2,2,4,1,6100,7.51,0.51
